timestamp,price,market_cap,total_volume
2026-09-16 09:00:00+07:00,75446.75318883032,1515342605631.4275,39490362672.246864
2026-09-16 10:00:00+07:00,75831.86578487034,1523077564394.7844,39837736617.05086
2026-09-16 11:00:00+07:00,75772.47164617064,1521892214642.5435,39762363875.19959
2026-09-16 12:00:00+07:00,75814.08003963677,1522727920390.3457,39417979600.713394
2026-09-16 13:00:00+07:00,75915.8176573905,1524771323291.5825,39363195998.648575
2026-09-16 14:00:00+07:00,75963.64384661049,1525735483932.4602,39365731831.13742
2026-09-16 15:00:00+07:00,75698.67948617562,1520415017457.0295,39024132890.58983
2026-09-16 16:00:00+07:00,75674.96622295785,1519938734359.9673,38921656514.31686
2026-09-16 17:00:00+07:00,75930.76771866258,1525076531190.7358,39000489382.74873
2026-09-16 18:00:00+07:00,75892.18304513379,1524307474024.8127,38525352533.70286
2026-09-16 19:00:00+07:00,76193.42443204131,1530357958793.1277,38657016381.19472
2026-09-16 20:00:00+07:00,75900.63404614376,1524479642645.5088,38353308634.618256
2026-09-16 21:00:00+07:00,75608.32776166973,1518610274966.8828,36866085503.307045
2026-09-16 22:00:00+07:00,75628.25325189572,1519010482921.3071,34479075031.488846
2026-09-16 23:00:00+07:00,75746.91554787687,1521393841835.1052,33598339520.06292
2026-09-17 00:00:00+07:00,75714.00801351186,1520732886603.1887,33081178838.67948
2026-09-17 01:00:00+07:00,75709.45598384431,1520641458063.1094,32466388224.19465
2026-09-17 02:00:00+07:00,75761.23608006895,1521687609606.4253,32015180580.377308
2026-09-17 03:00:00+07:00,76006.3523147599,1526610844185.761,31847309757.083496
2026-09-17 04:00:00+07:00,76117.4361019963,1528843898979.9453,31760058746.985577
2026-09-17 05:00:00+07:00,75935.57796021894,1525193344203.485,31149026935.224148
2026-09-17 06:00:00+07:00,75622.80385532479,1518911844626.017,30569798392.871693
2026-09-17 07:00:00+07:00,76146.81236783884,1529436748434.9944,30782581511.828445
2026-09-17 08:00:00+07:00,76290.51273559735,1532325464499.5671,30999323490.112556
